variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
Metallurgical coke exports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke exports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke exports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke exports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke exports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke exports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke imports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke imports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke imports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke imports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke imports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke imports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke imports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke imports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke imports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke imports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke production (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke production (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Metallurgical coke production (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Metallurgical coke production (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Motor gasoline consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Motor gasoline consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Motor gasoline consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Motor gasoline consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Motor gasoline consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Motor gasoline consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Motor gasoline consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Motor gasoline consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Motor gasoline consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Motor gasoline consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Motor gasoline production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Motor gasoline production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Natural gas CO2 emissions (million metric tonnes carbon dioxide),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Natural gas CO2 emissions (million metric tonnes carbon dioxide),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Natural gas fossil fuel (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Natural gas fossil fuel (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Natural gas plant liquids production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Natural gas plant liquids production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Natural gas plant liquids production (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Natural gas plant liquids production (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Natural gas plant liquids production (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Natural gas plant liquids production (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Natural gas plant liquids production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Natural gas plant liquids production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Non-hydro renewable electricity installed capacity (million kilowatts),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Non-hydro renewable electricity installed capacity (million kilowatts),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Non-hydro renewable electricity net generation (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Non-hydro renewable electricity net generation (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Non-hydro renewable electricity net generation (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Non-hydro renewable electricity net generation (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Non-hydro renewable electricity net generation (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Non-hydro renewable electricity net generation (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Non-hydro renewable electricity net generation (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Non-hydro renewable electricity net generation (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Nuclear electricity installed capacity (million kilowatts),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Nuclear electricity installed capacity (million kilowatts),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Nuclear electricity net generation (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Nuclear electricity net generation (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Nuclear electricity net generation (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Nuclear electricity net generation (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Nuclear electricity net generation (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Nuclear electricity net generation (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Nuclear electricity net generation (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Nuclear electricity net generation (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Other gases fossil fuel (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Other gases fossil fuel (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Other liquids production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Other liquids production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Other refined products consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Other refined products consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Other refined products consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Other refined products consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Other refined products consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Other refined products consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Other refined products consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Other refined products consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Other refined products consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Other refined products consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Other refined products production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Other refined products production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum and other liquids CO2 emissions (million metric tonnes carbon dioxide),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum and other liquids CO2 emissions (million metric tonnes carbon dioxide),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum and other liquids consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum and other liquids consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum and other liquids consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum and other liquids consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum and other liquids consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum and other liquids consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum and other liquids consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum and other liquids consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum and other liquids consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum and other liquids consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum and other liquids production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum and other liquids production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum and other liquids stocks (millions barrels),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum and other liquids stocks (millions barrels),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Petroleum fossil fuel (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Petroleum fossil fuel (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Population (people in thousands),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Population (people in thousands),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Refined petroleum products consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Refined petroleum products consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Refined petroleum products consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Refined petroleum products consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Refined petroleum products consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Refined petroleum products consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Refined petroleum products consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Refined petroleum products consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Refined petroleum products consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Refined petroleum products consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Refined petroleum products production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Refined petroleum products production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Refinery processing gain (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Refinery processing gain (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Reinjected natural gas production (billion cubic feet),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Reinjected natural gas production (billion cubic feet),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Reinjected natural gas production (billion cubic meters),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Reinjected natural gas production (billion cubic meters),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Renewable electricity installed capacity (million kilowatts),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Renewable electricity installed capacity (million kilowatts),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Renewable electricity net generation (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Renewable electricity net generation (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Renewable electricity net generation (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Renewable electricity net generation (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Renewable electricity net generation (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Renewable electricity net generation (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Renewable electricity net generation (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Renewable electricity net generation (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Residual fuel oil consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Residual fuel oil consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Residual fuel oil consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Residual fuel oil consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Residual fuel oil consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Residual fuel oil consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Residual fuel oil consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Residual fuel oil consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Residual fuel oil consumption (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Residual fuel oil consumption (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Residual fuel oil production (thousand barrels per day),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Residual fuel oil production (thousand barrels per day),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Solar electricity installed capacity (million kilowatts),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Solar electricity installed capacity (million kilowatts),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Solar electricity net generation (billion kilowatthours),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Solar electricity net generation (billion kilowatthours),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Solar electricity net generation (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Solar electricity net generation (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Solar electricity net generation (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Solar electricity net generation (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Solar electricity net generation (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Solar electricity net generation (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
"Solar, tide, wave, fuel cell electricity installed capacity (million kilowatts)",EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,"Solar, tide, wave, fuel cell electricity installed capacity (million kilowatts)",Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
"Solar, tide, wave, fuel cell electricity net generation (billion kilowatthours)",EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,"Solar, tide, wave, fuel cell electricity net generation (billion kilowatthours)",Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
"Solar, tide, wave, fuel cell electricity net generation (million metric tons of oil equivalent)",EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,"Solar, tide, wave, fuel cell electricity net generation (million metric tons of oil equivalent)",Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
"Solar, tide, wave, fuel cell electricity net generation (quadrillion Btu)",EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,"Solar, tide, wave, fuel cell electricity net generation (quadrillion Btu)",Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
"Solar, tide, wave, fuel cell electricity net generation (terajoules)",EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,"Solar, tide, wave, fuel cell electricity net generation (terajoules)",Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous consumption (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous consumption (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous exports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous exports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous exports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous exports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous exports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous exports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous exports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous exports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous exports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous exports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous imports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous imports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous imports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous imports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous imports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous imports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous imports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous imports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous imports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous imports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous production (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous production (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Subbituminous production (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Subbituminous production (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
